date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:13:23	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1638453716-ssl-df	https://steve-tribute.netlify.app/robots.txt		(from )
21:13:23	27291/27291	---MCZ	200	added ('OK')	text/html	etag:%2290f48950590b1b8e12b069fee8147996-ssl-df%22	https://steve-tribute.netlify.app/	D:/website/clonewebsute/steve-tribute.netlify.app/index.html	(from )
21:13:24	9867/9867	---MCZ	200	added ('OK')	text/css	etag:%228c0061b528db0b43cc4416e320ba7dc6-ssl-df%22	https://steve-tribute.netlify.app/steve.css	D:/website/clonewebsute/steve-tribute.netlify.app/steve.css	(from https://steve-tribute.netlify.app/)
21:13:24	1691/1691	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Dec%202023%2012:38:53	https://img.icons8.com/color-glass/96/000000/mac-os.png	D:/website/clonewebsute/img.icons8.com/color-glass/96/000000/mac-os.png	(from https://steve-tribute.netlify.app/)
21:13:25	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1638453716-ssl-df	https://steve-tribute.netlify.app/main.js	D:/website/clonewebsute/steve-tribute.netlify.app/main.2.delayed	(from https://steve-tribute.netlify.app/)
21:13:25	5349/5349	---M--	200	added ('OK')	image/png	etag:%222387d905c40bad7d7a944a670449d345-ssl%22	https://steve-tribute.netlify.app/pics/white.png	D:/website/clonewebsute/steve-tribute.netlify.app/pics/white.png	(from https://steve-tribute.netlify.app/)
21:13:25	2952/2952	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2009:35:51	https://img.icons8.com/office/60/000000/steve-jobs.png	D:/website/clonewebsute/img.icons8.com/office/60/000000/steve-jobs.png	(from https://steve-tribute.netlify.app/)
21:13:26	1108/1108	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2011:12:52	https://img.icons8.com/color-glass/60/000000/mac-os.png	D:/website/clonewebsute/img.icons8.com/color-glass/60/000000/mac-os.png	(from https://steve-tribute.netlify.app/)
21:13:26	1726/1726	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Nov%202023%2014:48:59	https://img.icons8.com/external-icongeek26-outline-gradient-icongeek26/60/000000/external-music-notes-music-instruments-icongeek26-outline-gradient-icongeek26-2.png	D:/website/clonewebsute/img.icons8.com/external-icongeek26-outline-gradient-icongeek26/60/000000/external-music-notes-music-instruments-icongeek26-outline-gradient-icongeek26-2.png	(from https://steve-tribute.netlify.app/)
21:13:26	3477/3477	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Dec%202023%2012:38:52	https://img.icons8.com/office/65/000000/steve-jobs.png	D:/website/clonewebsute/img.icons8.com/office/65/000000/steve-jobs.png	(from https://steve-tribute.netlify.app/)
21:13:26	2005/2005	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Dec%202023%2001:27:06	https://img.icons8.com/color/96/000000/sliding-child.png	D:/website/clonewebsute/img.icons8.com/color/96/000000/sliding-child.png	(from https://steve-tribute.netlify.app/)
21:13:26	1524/1524	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2010:53:14	https://img.icons8.com/fluent/96/000000/graduation-cap.png	D:/website/clonewebsute/img.icons8.com/fluent/96/000000/graduation-cap.png	(from https://steve-tribute.netlify.app/)
21:13:27	1203/1203	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Nov%202023%2020:12:19	https://img.icons8.com/external-photo3ideastudio-flat-photo3ideastudio/96/000000/external-computer-gadget-photo3ideastudio-flat-photo3ideastudio.png	D:/website/clonewebsute/img.icons8.com/external-photo3ideastudio-flat-photo3ideastudio/96/000000/external-computer-gadget-photo3ideastudio-flat-photo3ideastudio.png	(from https://steve-tribute.netlify.app/)
21:13:27	3694/3694	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Nov%202023%2018:17:15	https://img.icons8.com/external-itim2101-flat-itim2101/96/000000/external-singer-life-style-avatar-itim2101-flat-itim2101.png	D:/website/clonewebsute/img.icons8.com/external-itim2101-flat-itim2101/96/000000/external-singer-life-style-avatar-itim2101-flat-itim2101.png	(from https://steve-tribute.netlify.app/)
21:13:27	3782/3782	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Nov%202023%2004:08:26	https://img.icons8.com/external-wanicon-flat-wanicon/96/000000/external-drugs-lifestyle-wanicon-flat-wanicon.png	D:/website/clonewebsute/img.icons8.com/external-wanicon-flat-wanicon/96/000000/external-drugs-lifestyle-wanicon-flat-wanicon.png	(from https://steve-tribute.netlify.app/)
21:13:27	3718/3718	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Nov%202023%2004:34:54	https://img.icons8.com/external-justicon-lineal-color-justicon/96/000000/external-death-funeral-justicon-lineal-color-justicon.png	D:/website/clonewebsute/img.icons8.com/external-justicon-lineal-color-justicon/96/000000/external-death-funeral-justicon-lineal-color-justicon.png	(from https://steve-tribute.netlify.app/)
21:13:28	1736/1736	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2010:53:39	https://img.icons8.com/fluent/65/000000/checked.png	D:/website/clonewebsute/img.icons8.com/fluent/65/000000/checked.png	(from https://steve-tribute.netlify.app/)
21:13:28	4174/4174	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2010:57:19	https://img.icons8.com/fluency/96/000000/person-male.png	D:/website/clonewebsute/img.icons8.com/fluency/96/000000/person-male.png	(from https://steve-tribute.netlify.app/)
